longitude,latitude
-6.278198,53.349562
-6.265301448,53.35374155
-6.26298,53.336021
-6.276142,53.359405
-6.248109,53.336597
-6.24153,53.33796
-6.27012,53.343368
-6.265436,53.334123
-6.250427,53.344304
-6.262003,53.338755
-6.244239,53.347777
-6.252825,53.336074
-6.268044,53.330091
-6.265125,53.350929
-6.256853,53.341515
-6.263371,53.344603
-6.262501,53.340927
-6.254662,53.348279
-6.280337,53.35893
-6.251557,53.357841
-6.237153,53.344115
-6.280531,53.343893
-6.28525,53.347477
-6.300217,53.339005
-6.233451,53.344153
-6.258503,53.334295
-6.267732,53.340803
-6.255265,53.351464
-6.248345,53.333653
-6.277167,53.343105
-6.24672,53.341428
-6.248606,53.338614
-6.231291,53.341833
-6.246154,53.346637
-6.263578,53.343034
-6.230852,53.346867
-6.272314,53.3547
-6.260714,53.33403
-6.243576,53.346026
-6.260177,53.330662
-6.310015,53.342113
-6.263232,53.357043
-6.267459,53.348875
-6.275233,53.342081
-6.272976,53.346874
-6.240928,53.347932
-6.245575,53.334432
-6.275071,53.343565
-6.260348,53.359624
-6.269425,53.354929
-6.25294,53.350974
-6.26059,53.337132
-6.240642,53.339218
-6.234749,53.347122
-6.278424,53.355173
-6.273507,53.350291
-6.247579,53.354845
-6.24551,53.335742
-6.231755,53.343653
-6.248048,53.347884
-6.258117,53.341288
-6.252192,53.347508
-6.305085,53.341805
-6.29719,53.341645
-6.287661,53.342296
-6.267699,53.337757
-6.265601,53.358115
-6.238695,53.342638
-6.246548,53.339434
-6.264699,53.339334
-6.26199,53.337494
-6.261397,53.35561
-6.29706,53.343897
-6.297804,53.346985
-6.278378,53.355954
-6.256035,53.337824
-6.296924,53.346603
-6.254614,53.345922
-6.279696,53.35023
-6.273717,53.356307
-6.269779,53.359246
-6.265163,53.330362
-6.264828,53.359967
-6.26814,53.356769
-6.287409,53.343456
-6.256359,53.356717
-6.251988,53.339764
-6.238523,53.34744
-6.264423,53.355473
-6.291804,53.347972
-6.278214,53.347692
-6.266802,53.344007
-6.292041,53.347106
-6.260533,53.352149
-6.247163,53.345203
-6.249319,53.353331
-6.30395,53.338776
-6.281866,53.359157
-6.260311,53.349013
-6.260641,53.358437
-6.2509,53.335211
-6.243778,53.339629
-6.292951,53.341359
-6.257942,53.332763
-6.269859,53.351182
-6.266651,53.3483
-6.268001,53.346057
-6.278681,53.354663
-6.258586,53.356299
-6.252717,53.332383
-6.308191,53.340714
-6.292432,53.347802
-6.254485,53.34218
-6.281637,53.3488
